                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7514,                   1.46,                 1.2662,                0.62445,                0.39925,                0.40854,                0.20546,                 1.4662,                 0.9711,                 1.1254,                0.07008,              0.0033244,              0.0033244
                      1,                 1.6477,                 1.2096,                 1.1641,                0.61068,                0.39137,                0.40355,                0.19011,                 1.5671,                 1.0792,                 1.1603,               0.039915,               0.006493,               0.006493
                      2,                 1.7129,                  1.284,                  1.189,                 0.6154,                0.35882,                0.36889,                0.16474,                 1.6962,                 1.1968,                 1.2543,              0.0095854,              0.0094966,              0.0094966
                      3,                 1.7906,                 1.3433,                 1.2196,                 0.5802,                  0.353,                0.36143,                 0.1671,                 1.7702,                 1.2518,                 1.2907,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.7573,                 1.3294,                 1.2044,                0.58252,                0.37205,                0.37169,                0.16694,                 1.7336,                 1.2588,                 1.2592,              0.0092575,              0.0092575,              0.0092575
                      5,                  1.728,                 1.2951,                 1.1949,                0.59465,                0.36097,                0.38584,                  0.181,                 1.7249,                 1.1944,                   1.23,                0.00901,                0.00901,                0.00901
                      6,                 1.6972,                 1.2641,                 1.1771,                0.64014,                0.39859,                0.41538,                0.20132,                 1.6779,                 1.1917,                 1.2694,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.6491,                 1.2287,                 1.1666,                0.63617,                 0.3976,                 0.4241,                0.21195,                 1.6422,                 1.1568,                 1.2193,               0.008515,               0.008515,               0.008515
                      8,                 1.6248,                 1.2062,                 1.1577,                0.63525,                0.39775,                0.42402,                0.21368,                 1.6623,                 1.1615,                 1.2421,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.6011,                 1.1914,                 1.1482,                0.66583,                0.40591,                0.43258,                0.22061,                 1.6267,                 1.1085,                 1.2135,                0.00802,                0.00802,                0.00802
                     10,                  1.595,                 1.1693,                   1.14,                0.66898,                0.39447,                0.43433,                0.22449,                 1.5887,                 1.1047,                 1.2187,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.5604,                 1.1536,                   1.13,                0.65653,                0.40159,                0.43684,                0.22283,                 1.6236,                 1.1045,                 1.2153,               0.007525,               0.007525,               0.007525
                     12,                 1.5565,                 1.1449,                 1.1296,                0.66809,                0.41051,                0.44517,                0.22951,                 1.5668,                 1.0843,                 1.2051,              0.0072775,              0.0072775,              0.0072775
                     13,                  1.518,                 1.1216,                 1.1202,                0.65094,                 0.4166,                0.45092,                0.23648,                  1.586,                 1.0617,                 1.1977,                0.00703,                0.00703,                0.00703
                     14,                 1.5135,                 1.1048,                 1.1136,                0.69769,                 0.4197,                 0.4565,                0.24044,                 1.5493,                 1.0422,                 1.1892,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.4885,                 1.0941,                 1.1042,                0.67386,                0.40929,                0.45611,                0.24794,                  1.537,                  1.066,                 1.1757,               0.006535,               0.006535,               0.006535
                     16,                 1.4738,                  1.076,                 1.1009,                0.70587,                0.41679,                0.45989,                 0.2486,                 1.5234,                 1.0096,                 1.1712,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.4624,                 1.0646,                 1.0971,                 0.7109,                0.42505,                0.47382,                0.25475,                 1.5253,                0.98886,                 1.1783,                0.00604,                0.00604,                0.00604
                     18,                 1.4541,                 1.0575,                 1.0926,                0.68274,                0.42345,                0.46323,                0.24999,                 1.5171,                 1.0139,                 1.1661,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.4342,                 1.0438,                 1.0881,                0.71239,                0.42567,                0.47403,                 0.2606,                 1.4798,                0.97126,                  1.161,               0.005545,               0.005545,               0.005545
                     20,                 1.4151,                 1.0254,                 1.0805,                0.69478,                0.42627,                 0.4789,                 0.2634,                 1.5012,                0.99421,                 1.1628,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.4076,                 1.0115,                 1.0761,                0.70224,                0.43499,                0.48255,                0.26429,                 1.4869,                0.98135,                  1.153,                0.00505,                0.00505,                0.00505
                     22,                 1.4071,                 1.0067,                 1.0723,                0.71802,                0.43116,                0.48266,                0.26472,                  1.495,                0.97004,                 1.1695,              0.0048025,              0.0048025,              0.0048025
                     23,                  1.389,                0.99639,                 1.0696,                0.73102,                0.44231,                0.49559,                0.27542,                 1.4582,                 0.9338,                 1.1523,               0.004555,               0.004555,               0.004555
                     24,                 1.3754,                 0.9885,                 1.0642,                0.72448,                0.43705,                0.48973,                0.27163,                 1.4687,                0.94095,                 1.1564,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.3658,                0.97549,                 1.0606,                0.72738,                0.44109,                0.48966,                0.27367,                 1.4641,                0.94653,                 1.1468,                0.00406,                0.00406,                0.00406
                     26,                  1.348,                 0.9613,                 1.0535,                0.70345,                0.44559,                0.49572,                0.27077,                 1.4773,                0.98329,                 1.1554,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.3396,                0.94591,                 1.0539,                0.72837,                 0.4378,                0.49375,                0.28289,                 1.4401,                0.92547,                 1.1419,               0.003565,               0.003565,               0.003565
                     28,                 1.3277,                0.94597,                  1.048,                0.71055,                0.45375,                0.50791,                0.28177,                 1.4446,                0.94163,                 1.1379,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.3066,                0.93023,                 1.0454,                0.72104,                0.43902,                 0.4939,                0.27835,                 1.4433,                0.94401,                 1.1405,                0.00307,                0.00307,                0.00307
                     30,                 1.2778,                0.89342,                  1.035,                0.72937,                0.45159,                 0.5096,                0.28404,                 1.4382,                0.92406,                 1.1317,              0.0028225,              0.0028225,              0.0028225
